Burden Id,Region,Year,Cause Name,Age Group Name,Burden Mean,Burden Upper,Burden Lower,Pollutant
566689,Andean Latin America,1990,All causes,All ages,877900,1489000,372400,pm25
566692,Andean Latin America,1991,All causes,All ages,865600,1430000,427300,pm25
566695,Andean Latin America,1992,All causes,All ages,869500,1384000,472500,pm25
566698,Andean Latin America,1993,All causes,All ages,855500,1321000,479500,pm25
566701,Andean Latin America,1994,All causes,All ages,839200,1272000,464800,pm25
566704,Andean Latin America,1995,All causes,All ages,824800,1267000,436700,pm25
566707,Andean Latin America,1996,All causes,All ages,809700,1225000,461300,pm25
566710,Andean Latin America,1997,All causes,All ages,790900,1160000,457800,pm25
566713,Andean Latin America,1998,All causes,All ages,784500,1139000,450900,pm25
566716,Andean Latin America,1999,All causes,All ages,762400,1117000,428900,pm25
566719,Andean Latin America,2000,All causes,All ages,753300,1103000,421400,pm25
566722,Andean Latin America,2001,All causes,All ages,738300,1060000,425900,pm25
566725,Andean Latin America,2002,All causes,All ages,746600,1051000,436600,pm25
566728,Andean Latin America,2003,All causes,All ages,749600,1048000,466400,pm25
566731,Andean Latin America,2004,All causes,All ages,747900,1048000,458200,pm25
566734,Andean Latin America,2005,All causes,All ages,743300,1043000,441400,pm25
566737,Andean Latin America,2006,All causes,All ages,711200,982000,424800,pm25
566740,Andean Latin America,2007,All causes,All ages,651900,902200,380200,pm25
566743,Andean Latin America,2008,All causes,All ages,597100,834200,346300,pm25
566746,Andean Latin America,2009,All causes,All ages,563900,800100,319300,pm25
566749,Andean Latin America,2010,All causes,All ages,545600,787900,294200,pm25
566752,Andean Latin America,2011,All causes,All ages,539700,778300,302800,pm25
566755,Andean Latin America,2012,All causes,All ages,548100,787100,318300,pm25
566758,Andean Latin America,2013,All causes,All ages,561600,795700,331100,pm25
566761,Andean Latin America,2014,All causes,All ages,570700,787900,342500,pm25
566764,Andean Latin America,2015,All causes,All ages,574500,797100,344900,pm25
566767,Andean Latin America,2016,All causes,All ages,590300,805500,357200,pm25
566770,Andean Latin America,2017,All causes,All ages,617000,830000,382600,pm25
566773,Andean Latin America,2018,All causes,All ages,640200,884700,393700,pm25
566776,Andean Latin America,2019,All causes,All ages,649600,928000,398500,pm25
566779,Andean Latin America,2020,All causes,All ages,555700,795000,344200,pm25
566782,Andean Latin America,2021,All causes,All ages,582600,841900,361600,pm25
529441,Australasia,1990,All causes,All ages,75700,196200,7320,pm25
529444,Australasia,1991,All causes,All ages,72400,171500,12100,pm25
529447,Australasia,1992,All causes,All ages,71600,152900,13700,pm25
529450,Australasia,1993,All causes,All ages,69300,146900,13600,pm25
529453,Australasia,1994,All causes,All ages,68500,153100,10800,pm25
529456,Australasia,1995,All causes,All ages,67500,162400,5700,pm25
529459,Australasia,1996,All causes,All ages,67400,144800,12300,pm25
529462,Australasia,1997,All causes,All ages,66500,133100,14400,pm25
529465,Australasia,1998,All causes,All ages,64900,124500,14500,pm25
529468,Australasia,1999,All causes,All ages,64100,128500,13400,pm25
529471,Australasia,2000,All causes,All ages,62900,132400,8720,pm25
529474,Australasia,2001,All causes,All ages,61200,119100,14800,pm25
529477,Australasia,2002,All causes,All ages,59100,108600,17600,pm25
529480,Australasia,2003,All causes,All ages,56300,102200,17500,pm25
529483,Australasia,2004,All causes,All ages,53900,99100,16100,pm25
529486,Australasia,2005,All causes,All ages,52300,96800,14300,pm25
529489,Australasia,2006,All causes,All ages,52800,93200,18000,pm25
529492,Australasia,2007,All causes,All ages,55300,93500,22800,pm25
529495,Australasia,2008,All causes,All ages,57800,93500,26400,pm25
529498,Australasia,2009,All causes,All ages,59400,94000,27600,pm25
529501,Australasia,2010,All causes,All ages,59900,95100,25900,pm25
529504,Australasia,2011,All causes,All ages,59400,93800,26600,pm25
529507,Australasia,2012,All causes,All ages,57500,91500,26100,pm25
529510,Australasia,2013,All causes,All ages,55900,89300,25600,pm25
529513,Australasia,2014,All causes,All ages,55900,89700,26000,pm25
529516,Australasia,2015,All causes,All ages,56100,90500,25700,pm25
529519,Australasia,2016,All causes,All ages,61400,94500,31100,pm25
529522,Australasia,2017,All causes,All ages,73400,108100,41800,pm25
529525,Australasia,2018,All causes,All ages,84600,122600,51300,pm25
529528,Australasia,2019,All causes,All ages,93300,134200,56100,pm25
529531,Australasia,2020,All causes,All ages,72200,110000,39300,pm25
529534,Australasia,2021,All causes,All ages,94500,135900,57300,pm25
555073,Caribbean,1990,All causes,All ages,349300,646000,142500,pm25
555076,Caribbean,1991,All causes,All ages,342400,579100,166600,pm25
555079,Caribbean,1992,All causes,All ages,344000,559900,183100,pm25
555082,Caribbean,1993,All causes,All ages,348700,582000,189700,pm25
555085,Caribbean,1994,All causes,All ages,350700,602500,183100,pm25
555088,Caribbean,1995,All causes,All ages,352900,651800,158000,pm25
555091,Caribbean,1996,All causes,All ages,359500,606100,175200,pm25
555094,Caribbean,1997,All causes,All ages,370300,583700,196600,pm25
555097,Caribbean,1998,All causes,All ages,385100,590100,207400,pm25
555100,Caribbean,1999,All causes,All ages,396100,627200,208400,pm25
555103,Caribbean,2000,All causes,All ages,395300,659600,184600,pm25
555106,Caribbean,2001,All causes,All ages,398000,629400,206900,pm25
555109,Caribbean,2002,All causes,All ages,387700,579900,216200,pm25
555112,Caribbean,2003,All causes,All ages,392800,586200,223000,pm25
555115,Caribbean,2004,All causes,All ages,397000,590400,215900,pm25
555118,Caribbean,2005,All causes,All ages,402000,626300,195200,pm25
555121,Caribbean,2006,All causes,All ages,397100,587400,219400,pm25
555124,Caribbean,2007,All causes,All ages,402300,571900,243200,pm25
555127,Caribbean,2008,All causes,All ages,404600,568200,258000,pm25
555130,Caribbean,2009,All causes,All ages,413300,592000,258700,pm25
555133,Caribbean,2010,All causes,All ages,414600,618100,241000,pm25
555136,Caribbean,2011,All causes,All ages,422000,594300,267000,pm25
555139,Caribbean,2012,All causes,All ages,443700,602700,295100,pm25
555142,Caribbean,2013,All causes,All ages,474000,639900,330100,pm25
